PorCis;CjDoruceno;CjPozvanka;CjVyzva;RegCis;Prijmeni;Jmeno;Pohl;DatNar;MistoNarozeni;StObc;Ulice;Obec;PSC;PrijmeniZZ;JmenoZZ;UliceZZ;ObecZZ;PSCZZ;TerminPZ
1;HighSchools 445/2010;HighSchool 345/2010;HighSchool 445/2010;801;Rýznar;Vilém;m;1.7.1999;Zábřeh;ČR;Lesnice 156;Lesnice;789 01;Rýznar;Jiří;Lečnice 156;Lečnice;789 01;22.4.2010
2;HighSchools 446/2010;HighSchool 346/2010;HighSchool 446/2010;802;Rýznar;Alois;m;2.10.1998;Šumperk;ČR;Morávkova 3;Zábřeh;789 01;Rýznarová;Jiřina;Mosávkova 3;Zábřeh;789 01;22.4.2010
3;HighSchools 447/2010;HighSchool 347/2010;HighSchool 447/2010;803;Kriegler;Petr;m;9.6.1998;Zábřeh;ČR;Sokolská 28;Zábřeh;789 01;Krieglerová;Anna;Sokolní 28;Zábřeh;789 01;22.4.2010
4;HighSchools 448/2010;HighSchool 348/2010;HighSchool 448/2010;804;Hojgrová;Helena;ž;29.3.1999;Zábřeh;ČR;Kosmonautů 1;Zábřeh;789 01;Hojgr;Aleš;Kosmonautů 123;Zábřeh;789 01;22.4.2010
5;HighSchools 449/2010;HighSchool 349/2010;HighSchool 449/2010;805;Reichl;Jan;m;15.1.1998;Šumperk;ČR;Sušilova 8;Zábřeh;789 01;Reichlová;Jitka;Sušálova 8;Zábřeh;789 01;22.4.2010
6;HighSchools 445/2010;HighSchool 345/2010;HighSchool 445/2010;806;Rýznarová;Vilma;m;1.7.1999;Zábřeh;ČR;Lesnice 156;Lesnice;789 01;Rýznar;Jiří;Lečnice 156;Lečnice;789 01;22.4.2010
7;HighSchools 446/2010;HighSchool 346/2010;HighSchool 446/2010;807;Rýznar;Quido;m;2.10.1998;Šumperk;ČR;Morávkova 3;Zábřeh;789 01;Rýznarová;Jiřina;Mosávkova 3;Zábřeh;789 01;22.4.2010
8;HighSchools 447/2010;HighSchool 347/2010;HighSchool 447/2010;808;Kriegler;Jan;m;9.6.1998;Zábřeh;ČR;Sokolská 28;Zábřeh;789 01;Krieglerová;Anna;Sokolní 28;Zábřeh;789 01;22.4.2010
9;HighSchools 448/2010;HighSchool 348/2010;HighSchool 448/2010;809;Hojgerová;Helena;ž;29.3.1999;Zábřeh;ČR;Kosmonautů 1;Zábřeh;789 01;Hojgr;Aleš;Kosmonautů 123;Zábřeh;789 01;22.4.2010
10;HighSchools 449/2010;HighSchool 349/2010;HighSchool 449/2010;810;Reichlová;Jana;m;15.1.1998;Šumperk;ČR;Sušilova 8;Zábřeh;789 01;Reichlová;Jitka;Sušálova 8;Zábřeh;789 01;22.4.2010
